            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460145.562500000, A.D. 2023-Jul-20 01:30:00.0000, -3.187298185870827E+05,  2.497973442349588E+05,  3.265150386202868E+04,
2460145.583333333, A.D. 2023-Jul-20 02:00:00.0000, -3.198098212702527E+05,  2.484268210046484E+05,  3.259298121989507E+04,
2460145.604166667, A.D. 2023-Jul-20 02:30:00.0000, -3.208836104681405E+05,  2.470515443141884E+05,  3.253381912389320E+04,
2460145.625000000, A.D. 2023-Jul-20 03:00:00.0000, -3.219511651952285E+05,  2.456715410168485E+05,  3.247401875033093E+04,
2460145.645833333, A.D. 2023-Jul-20 03:30:00.0000, -3.230124645720574E+05,  2.442868380431000E+05,  3.241358128635616E+04,
2460145.666666667, A.D. 2023-Jul-20 04:00:00.0000, -3.240674878254217E+05,  2.428974624002589E+05,  3.235250792993710E+04,
2460145.687500000, A.D. 2023-Jul-20 04:30:00.0000, -3.251162142885656E+05,  2.415034411721299E+05,  3.229079988984267E+04,
2460145.708333333, A.D. 2023-Jul-20 05:00:00.0000, -3.261586234013757E+05,  2.401048015186512E+05,  3.222845838562271E+04,
2460145.729166667, A.D. 2023-Jul-20 05:30:00.0000, -3.271946947105753E+05,  2.387015706755405E+05,  3.216548464758843E+04,
2460145.750000000, A.D. 2023-Jul-20 06:00:00.0000, -3.282244078699154E+05,  2.372937759539398E+05,  3.210187991679256E+04,
2460145.770833333, A.D. 2023-Jul-20 06:30:00.0000, -3.292477426403663E+05,  2.358814447400633E+05,  3.203764544500984E+04,
2460145.791666667, A.D. 2023-Jul-20 07:00:00.0000, -3.302646788903077E+05,  2.344646044948440E+05,  3.197278249471722E+04,
2460145.812500000, A.D. 2023-Jul-20 07:30:00.0000, -3.312751965957182E+05,  2.330432827535816E+05,  3.190729233907427E+04,
2460145.833333333, A.D. 2023-Jul-20 08:00:00.0000, -3.322792758403635E+05,  2.316175071255918E+05,  3.184117626190340E+04,
2460145.854166667, A.D. 2023-Jul-20 08:30:00.0000, -3.332768968159837E+05,  2.301873052938546E+05,  3.177443555767032E+04,
2460145.875000000, A.D. 2023-Jul-20 09:00:00.0000, -3.342680398224806E+05,  2.287527050146647E+05,  3.170707153146442E+04,
2460145.895833333, A.D. 2023-Jul-20 09:30:00.0000, -3.352526852681032E+05,  2.273137341172827E+05,  3.163908549897885E+04,
2460145.916666667, A.D. 2023-Jul-20 10:00:00.0000, -3.362308136696326E+05,  2.258704205035850E+05,  3.157047878649119E+04,
2460145.937500000, A.D. 2023-Jul-20 10:30:00.0000, -3.372024056525666E+05,  2.244227921477170E+05,  3.150125273084363E+04,
2460145.958333333, A.D. 2023-Jul-20 11:00:00.0000, -3.381674419513029E+05,  2.229708770957447E+05,  3.143140867942350E+04,
2460145.979166667, A.D. 2023-Jul-20 11:30:00.0000, -3.391259034093216E+05,  2.215147034653090E+05,  3.136094799014348E+04,
2460146.000000000, A.D. 2023-Jul-20 12:00:00.0000, -3.400777709793674E+05,  2.200542994452787E+05,  3.128987203142217E+04,
2460146.020833333, A.D. 2023-Jul-20 12:30:00.0000, -3.410230257236308E+05,  2.185896932954055E+05,  3.121818218216438E+04,
2460146.041666667, A.D. 2023-Jul-20 13:00:00.0000, -3.419616488139280E+05,  2.171209133459800E+05,  3.114587983174165E+04,
2460146.062500000, A.D. 2023-Jul-20 13:30:00.0000, -3.428936215318812E+05,  2.156479879974866E+05,  3.107296637997263E+04,
2460146.083333333, A.D. 2023-Jul-20 14:00:00.0000, -3.438189252690974E+05,  2.141709457202608E+05,  3.099944323710365E+04,
2460146.104166667, A.D. 2023-Jul-20 14:30:00.0000, -3.447375415273465E+05,  2.126898150541467E+05,  3.092531182378904E+04,
2460146.125000000, A.D. 2023-Jul-20 15:00:00.0000, -3.456494519187395E+05,  2.112046246081550E+05,  3.085057357107179E+04,
2460146.145833333, A.D. 2023-Jul-20 15:30:00.0000, -3.465546381659047E+05,  2.097154030601216E+05,  3.077522992036390E+04,
2460146.166666667, A.D. 2023-Jul-20 16:00:00.0000, -3.474530821021653E+05,  2.082221791563675E+05,  3.069928232342715E+04,
2460146.187500000, A.D. 2023-Jul-20 16:30:00.0000, -3.483447656717137E+05,  2.067249817113586E+05,  3.062273224235335E+04,
2460146.208333333, A.D. 2023-Jul-20 17:00:00.0000, -3.492296709297880E+05,  2.052238396073668E+05,  3.054558114954518E+04,
2460146.229166667, A.D. 2023-Jul-20 17:30:00.0000, -3.501077800428459E+05,  2.037187817941318E+05,  3.046783052769670E+04,
2460146.250000000, A.D. 2023-Jul-20 18:00:00.0000, -3.509790752887388E+05,  2.022098372885232E+05,  3.038948186977391E+04,
